"id","DC_FC_Assets_Type","DC_FC_Assets_Name","SQL_FC_Account_ID","SQL_Heading_Sequence","SQL_Sequence","SQL_Account_Name_Code","SQL_Account_Name","SQL_Account_Category_Order_Code","SQL_Account_Category_Order","SUB_Account_Category_Order_Code","SUB_Account_Category_Order","SQL_Account_Group_Name_Code","SQL_Account_Group_Name","Accountnumber_ID","January","February","March","April","May","June","July","August","September","October","November","December","Total","Account_Year","SQL_Property","updated_at"
"190","SALES","Market","FC_market_rdipd_1_8_sales","2","2.4","IS.1","Revenue","IS.1.4","Miscellaneous Revenue",,,,,"FC_market_rdipd_1_8_sales","5307.96","4759.99","7336.36","6136.61","7515.28","8199.66","7244.30","5701.58","6918.75","5750.00","5478.00","5784.00","76132.49","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"191","SALES","Guest Communications","FC_guest_communications_rdipd_1_8_sales","2","2.3","IS.1","Revenue","IS.1.3","Other Revenue",,,,,"FC_guest_communications_rdipd_1_8_sales","79.20","128.70","247.50","145.80","222.75","222.75","138.60","183.15","118.80","257.58","213.70","473.71","2432.24","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"192","SALES","Other Sales","FC_other_sales_rdipd_1_8_sales","2","2.3","IS.1","Revenue","IS.1.3","Other Revenue",,,,,"FC_other_sales_rdipd_1_8_sales","68159.77","82445.83","107332.36","101783.83","97771.87","86750.39","72559.94","83344.46","89709.72","85128.75","81101.79","85632.12","1041720.83","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"193","ROOMS CONTROLLABLES","TOTAL ROOMS CONT.","FC_total_rooms_cont._rdipd_1_8_rooms_controllables","3","3.1","IS.2","Department Expenses","IS.2.1","Room Expense",,,,,"FC_total_rooms_cont._rdipd_1_8_rooms_controllables","178554.07","172161.34","186862.31","153753.13","200022.35","190317.21","178029.10","179651.23","155829.17","143263.19","143488.99","139470.56","2021402.65","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"194","F&B OUTLET CONTROLLABLES","TOTAL F&B CONT.","FC_total_fb_cont._rdipd_1_8_fb_outlet_controllables","3","3.2","IS.2","Department Expenses","IS.2.2","F&B Expense",,,,,"FC_total_fb_cont._rdipd_1_8_fb_outlet_controllables","428.50","123.28","1799.50","-32.30","975.81","-487.90","0.00","1071.02","285.77","0.00","0.00","0.00","4163.68","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"195","BANQUET CONTROLLABLES","Market Expense","FC_market_expense_rdipd_1_8_banquet_controllables","3","3.4","IS.2","Department Expenses","IS.2.4","Miscellaneous Expense","IS.2.3.1","Miscellaneous",,,"FC_market_expense_rdipd_1_8_banquet_controllables","936.73","273.89","6070.19","963.09","1140.56","6681.95","5391.45","2686.11","1594.59","2811.75","2678.74","2828.38","34057.43","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"196","BANQUET CONTROLLABLES","Total Other Expense","FC_total_other_expense_rdipd_1_8_banquet_controllables","3","3.3","IS.2","Department Expenses","IS.2.3","Other Expense",,,,,"FC_total_other_expense_rdipd_1_8_banquet_controllables","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","105.39","105.39","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"197","INFORMATION & TELECOM SYSTEMS","TOTAL I&TS CONT.","FC_total_its_cont._rdipd_1_8_information_and_telecom_systems","5","5.2","IS.2","Undistributed Expenses","IS.2.5","Information & Telecommunications",,,,,"FC_total_its_cont._rdipd_1_8_information_and_telecom_systems","9253.94","6481.55","7421.48","5310.82","3676.62","9748.26","4746.32","5124.91","4182.14","6922.93","6753.12","6902.14","76524.23","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"198","ADMIN & GEN CONTROLLABLES","TOTAL A&G CONT.","FC_total_ag_cont._rdipd_1_8_admin_and_gen_controllables","5","5.1","IS.2","Undistributed Expenses","IS.2.4","A&G Expense",,,,,"FC_total_ag_cont._rdipd_1_8_admin_and_gen_controllables","75338.77","72192.53","74270.38","77905.73","75402.69","62678.69","82059.28","83831.20","79562.73","72760.07","57467.90","63276.88","876746.85","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"199","UTILITIES","TOTAL UTILITIES","FC_total_utilities_rdipd_1_8_utilities","5","5.5","IS.2","Undistributed Expenses","IS.2.14","Utilities",,,,,"FC_total_utilities_rdipd_1_8_utilities","29180.98","29230.11","31072.17","29685.09","33453.75","31468.94","36967.44","45874.35","39601.98","37344.24","27852.09","27271.86","399003.00","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"200","PROP OPERATIONS & MAINT","TOTAL PO&M","FC_total_pom_rdipd_1_8_prop_operations_and_maint","5","5.4","IS.2","Undistributed Expenses","IS.2.7","Maintenance",,,,,"FC_total_pom_rdipd_1_8_prop_operations_and_maint","30774.10","23370.15","41412.65","30106.91","35230.99","31683.30","47385.27","23128.41","25876.48","39643.08","32725.07","34078.81","395415.22","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"201","SALES & MKT","TOTAL SALES & MKT","FC_total_sales_and_mkt_rdipd_1_8_sales_and_mkt","5","5.3","IS.2","Undistributed Expenses","IS.2.6","Sales & Marketing","IS.2.6.1","Sales & Marketing",,,"FC_total_sales_and_mkt_rdipd_1_8_sales_and_mkt","52431.42","46378.19","50754.93","40178.89","46206.66","56715.50","42117.71","40311.29","53235.95","37614.73","33712.08","38670.34","538327.69","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"202","OPERATING RESULTS","GROSS OPERATING PROFIT","FC_gross_operating_profit_rdipd_1_8_operating_results","6","6.1","IS.3","Gross Operating Profit","IS.3.1","GOP",,,,,"FC_gross_operating_profit_rdipd_1_8_operating_results","313347.74","412685.04","512997.54","451480.81","462845.64","395513.15","268550.50","387397.98","478322.28","344156.57","355217.09","476996.89","4859511.23","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"203","OPERATING RESULTS","TOTAL MANAGEMENT FEES","FC_total_management_fees_rdipd_1_8_operating_results","7","7.1","IS.2","Management Fees","IS.2.13","Management Fees",,,,,"FC_total_management_fees_rdipd_1_8_operating_results","48317.24","53402.73","63886.28","55254.65","60126.85","54902.34","46567.29","53835.36","58694.38","47916.16","46192.66","55272.09","644368.03","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"204","NON-OP INC & EXP DETAIL","Real Estate Tax","FC_real_estate_tax_rdipd_1_8_non-op_inc_and_exp_detail","8","8.1","IS.2","Non-Operating Income & Expenses","IS.2.8","Property & Other Taxes",,,,,"FC_real_estate_tax_rdipd_1_8_non-op_inc_and_exp_detail","50847.71","50847.71","50847.71","50847.71","50847.71","50847.73","52091.51","52091.51","52091.51","52091.51","52091.51","52091.51","617635.34","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"205","NON-OP INC & EXP DETAIL","Property Tax","FC_property_tax_rdipd_1_8_non-op_inc_and_exp_detail","8","8.1","IS.2","Non-Operating Income & Expenses","IS.2.8","Property & Other Taxes",,,,,"FC_property_tax_rdipd_1_8_non-op_inc_and_exp_detail","921.40","921.40","921.40","921.40","921.40","921.40","891.79","891.79","891.79","956.42","956.42","956.42","11073.03","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"206","NON-OP INC & EXP DETAIL","Prior Year Adj Tax","FC_prior_year_adj_tax_rdipd_1_8_non-op_inc_and_exp_detail","8","8.1","IS.2","Non-Operating Income & Expenses","IS.2.8","Property & Other Taxes",,,,,"FC_prior_year_adj_tax_rdipd_1_8_non-op_inc_and_exp_detail","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","65193.19","0.00","0.00","0.00","65193.19","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"207","NON-OP INC & EXP DETAIL","Guest Accidents","FC_guest_accidents_rdipd_1_8_non-op_inc_and_exp_detail","8","8.2","IS.2","Non-Operating Income & Expenses","IS.2.8","Insurance",,,,,"FC_guest_accidents_rdipd_1_8_non-op_inc_and_exp_detail","500.00","0.00","0.00","0.00","200.00","10.00","484.00","0.00","0.00","0.00","0.00","0.00","1194.00","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"208","NON-OP INC & EXP DETAIL","Casualty Insurance","FC_casualty_insurance_rdipd_1_8_non-op_inc_and_exp_detail","8","8.2","IS.2","Non-Operating Income & Expenses","IS.2.8","Insurance",,,,,"FC_casualty_insurance_rdipd_1_8_non-op_inc_and_exp_detail","2070.74","2288.69","2745.05","2360.99","2576.86","2352.96","1995.74","2307.23","2515.47","2103.83","2028.16","2426.80","27772.52","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"209","NON-OP INC & EXP DETAIL","Land Rent","FC_land_rent_rdipd_1_8_non-op_inc_and_exp_detail","8","8.3","IS.2","Non-Operating Income & Expenses","IS.2.8","Other (Non-Operating I&E)",,,,,"FC_land_rent_rdipd_1_8_non-op_inc_and_exp_detail","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"210","NON-OP INC & EXP DETAIL","Chain Services","FC_chain_services_rdipd_1_8_non-op_inc_and_exp_detail","8","8.3","IS.2","Non-Operating Income & Expenses","IS.2.8","Other (Non-Operating I&E)",,,,,"FC_chain_services_rdipd_1_8_non-op_inc_and_exp_detail","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"211","NON-OP INC & EXP DETAIL","Lease Payments","FC_lease_payments_rdipd_1_8_non-op_inc_and_exp_detail","8","8.3","IS.2","Non-Operating Income & Expenses","IS.2.8","Other (Non-Operating I&E)",,,,,"FC_lease_payments_rdipd_1_8_non-op_inc_and_exp_detail","0.00","159.64","175.32","0.00","0.00","422.77","0.00","0.00","0.00","431.24","0.00","152.79","1341.76","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"212","NON-OP INC & EXP DETAIL","Property Insurance","FC_property_insurance_rdipd_1_8_non-op_inc_and_exp_detail","8","8.2","IS.2","Non-Operating Income & Expenses","IS.2.8","Insurance",,,,,"FC_property_insurance_rdipd_1_8_non-op_inc_and_exp_detail","24358.87","24358.87","-9962.37","21498.76","21498.76","21498.76","21498.76","21498.76","21498.76","28012.70","28012.70","28012.70","251786.03","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"213","NON-OP INC & EXP DETAIL","Prior Year Adjustment","FC_prior_year_adjustment_rdipd_1_8_non-op_inc_and_exp_detail","8","8.3","IS.2","Non-Operating Income & Expenses","IS.2.8","Other (Non-Operating I&E)",,,,,"FC_prior_year_adjustment_rdipd_1_8_non-op_inc_and_exp_detail","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"214","NON-OP INC & EXP DETAIL","Loan Repayment - Principal","FC_loan_repayment_principal_rdipd_1_8_non-op_inc_and_exp_detail","8","8.3","IS.2","Non-Operating Income & Expenses","IS.2.8","Other (Non-Operating I&E)",,,,,"FC_loan_repayment_principal_rdipd_1_8_non-op_inc_and_exp_detail","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"215","NON-OP INC & EXP DETAIL","Loan Repayment - Interest","FC_loan_repayment_interest_rdipd_1_8_non-op_inc_and_exp_detail","8","8.3","IS.2","Non-Operating Income & Expenses","IS.2.8","Other (Non-Operating I&E)",,,,,"FC_loan_repayment_interest_rdipd_1_8_non-op_inc_and_exp_detail","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"216","NON-OP INC & EXP DETAIL","EBITDA","FC_ebitda_rdipd_1_8_non-op_inc_and_exp_detail","9","9","IS.3","EBITDA","IS.3.2","EBITDA",,,,,"FC_ebitda_rdipd_1_8_non-op_inc_and_exp_detail","186286.52","280684.05","404293.51","320584.90","326669.84","264556.57","144993.26","256773.71","277436.65","212644.71","225935.64","338084.58","3238943.94","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"217","NON-OP INC & EXP DETAIL","REPLACEMENT RESERVE","FC_replacement_reserve_rdipd_1_8_non-op_inc_and_exp_detail","10","10","IS.2","Replacement Reserve","IS.2.12","Replacement Reserve",,,,,"FC_replacement_reserve_rdipd_1_8_non-op_inc_and_exp_detail","34512.31","38144.80","45750.90","39349.77","42947.75","39215.95","33262.35","38453.83","41924.56","34225.83","32994.75","39480.06","460262.86","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"218","NON-OP INC & EXP DETAIL","EBITDA less REPLACEMENT RESERVE","FC_ebitda_less_replacement_reserve_rdipd_1_8_non-op_inc_and_exp_detail","11","11.1","IS.3","NOI after Reserve","IS.3.3","NOI after Reserve",,,,,"FC_ebitda_less_replacement_reserve_rdipd_1_8_non-op_inc_and_exp_detail","151774.21","242539.25","358542.61","281235.13","283722.09","225340.62","111730.91","218319.88","235512.09","178418.88","192940.89","298604.52","2778681.08","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"219","NON-OP INC & EXP DETAIL","Retained Profit/(Loss)","FC_retained_profit_loss_rdipd_1_8_non-op_inc_and_exp_detail","11","11.1","IS.3","NOI after Reserve","IS.3.3","NOI after Reserve",,,,,"FC_retained_profit_loss_rdipd_1_8_non-op_inc_and_exp_detail","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","178418.88","192940.89","298604.52","669964.29","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"220",,"Total Operating Income","calc_FC_total_operating_income_rdipd_1_8","2","2.5","IS.1","Revenue","IS.1.5","Total Operating Income",,,,,"calc_FC_total_operating_income_rdipd_1_8","690246.25","762896.08","912661.15","789352.17","858955.07","784319.10","665247.07","769076.50","838491.09","684516.56","659895.08","789601.25","0.00","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"221",,"Total Department Expense","calc_FC_total_department_expense_rdipd_1_8","3","3.5","IS.2","Department Expenses","IS.2.5","Total Department Expense",,,,,"calc_FC_total_department_expense_rdipd_1_8","179919.30","172558.51","194732.00","154683.92","202138.72","196511.26","183420.55","183408.36","157709.53","146074.94","146167.73","142404.33","0.00","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"222",,"Department Profit (Loss)","calc_FC_department_profit_loss_rdipd_1_8","4","4.1","IS.4","Department Profit (Loss","IS.4.1","Department Profit (Loss)",,,,,"calc_FC_department_profit_loss_rdipd_1_8","510326.95","590337.57","717929.15","634668.25","656816.35","587807.84","481826.52","585668.14","680781.56","538441.62","513727.35","647196.92","0.00","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"223",,"Total Undistributed Expenses","calc_FC_total_undistributed_expenses_rdipd_1_8","5","5.6","IS.5","Undistributed Expenses","IS.5.6","Total Undistributed Expenses",,,,,"calc_FC_total_undistributed_expenses_rdipd_1_8","196979.21","177652.53","204931.61","183187.44","193970.71","192294.69","213276.02","198270.16","202459.28","194285.05","158510.26","170200.03","0.00","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"224",,"GOP Margin","calc_FC_gop_margin_rdipd_1_8","6","6.2","IS.3","Gross Operating Profit","IS.3.5","GOP Margin",,,,,"calc_FC_gop_margin_rdipd_1_8","45.40","54.09","56.21","57.20","53.88","50.43","40.37","50.37","57.05","50.28","53.83","60.41","0.00","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"225",,"Income before Non-Operating Inc&Exp","calc_FC_income_before_non-operating_incexp_rdipd_1_8","7","7.2","IS.7","Income Before Non-Operating Inc & Exp","IS.7.1","Income before Non-Operating Inc&Exp",,,,,"calc_FC_income_before_non-operating_incexp_rdipd_1_8","265030.50","359282.31","449111.26","396226.16","402718.79","340610.81","221983.21","333562.62","419627.90","296240.41","309024.43","421724.80","0.00","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"226",,"Total Non-Operating Income & Expenses","calc_FC_total_non-operating_income_and_expenses_rdipd_1_8","8","8.4","IS.8","Total Non-Operating Income & Expenses","IS.8.4","Total Non-Operating Income & Expenses",,,,,"calc_FC_total_non-operating_income_and_expenses_rdipd_1_8","78743.98","78598.26","44817.75","75641.26","76048.95","76054.24","76989.95","76788.91","142191.25","83595.70","83088.79","83640.22","0.00","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"227",,"NOI Margin","calc_FC_noi_margin_rdipd_1_8","11","11.2","IS.11","NOI Margin","IS.11.1","NOI Margin",,,,,"calc_FC_noi_margin_rdipd_1_8","21.99","31.79","39.29","35.63","33.03","28.73","16.80","28.39","28.09","26.06","29.24","37.82","0.00","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"228",,"AVAILABLE ROOMS","FC_available_rooms_rinnwtp_5_12","1","1.1","OD.1","Operational Data","OD.1.1","Available Rooms",,,,,"FC_available_rooms_rinnwtp_5_12","4960.00","4640.00","4960.00","4800.00","4960.00","4800.00","4960.00","4960.00","4800.00","4960.00","4800.00","4960.00","58560.00","2024","Residence Inn Westshore Tampa","2024-12-21 12:15:03"
"229",,"OCCUPIED ROOMS","FC_occupied_rooms_rinnwtp_5_12","1","1.2","OD.1","Operational Data","OD.1.2","Rooms Sold",,,,,"FC_occupied_rooms_rinnwtp_5_12","3401.00","3995.00","4623.00","4032.00","4131.00","3761.00","3684.00","3422.00","3138.00","3130.00","3240.00","3593.00","44150.00","2024","Residence Inn Westshore Tampa","2024-12-21 12:15:03"
"230",,"OCCUPANCY %","FC_occupancy_rinnwtp_5_12","1","1.3","OD.1","Operational Data","OD.1.3","Occupancy %",,,,,"FC_occupancy_rinnwtp_5_12","68.60","86.10","93.20","84.00","83.30","78.40","74.30","69.00","65.40","63.10","67.50","72.40","75.40","2024","Residence Inn Westshore Tampa","2024-12-21 12:15:04"
"231",,"ADR","FC_adr_rinnwtp_5_12","1","1.4","OD.1","Operational Data","OD.1.4","Average Rate",,,,,"FC_adr_rinnwtp_5_12","200.48","208.57","208.52","194.65","169.82","155.48","157.19","156.42","157.57","162.48","163.93","171.50","177.01","2024","Residence Inn Westshore Tampa","2024-12-21 12:15:04"
"232",,"REV PAR","FC_rev_par_rinnwtp_5_12","1","1.5","OD.1","Operational Data","OD.1.5","RevPar",,,,,"FC_rev_par_rinnwtp_5_12","137.46","179.58","194.35","163.51","141.44","121.82","116.75","107.91","103.01","102.53","110.65","124.23","133.45","2024","Residence Inn Westshore Tampa","2024-12-21 12:15:04"
"233","REVENUE","ROOMS","FC_rooms_rinnwtp_5_12_revenue","2","2.1","IS.1","Revenue","IS.1.1","Room Revenue",,,,,"FC_rooms_rinnwtp_5_12_revenue","681816.00","833253.00","963973.00","784824.00","701521.00","584752.00","579088.00","535256.00","494456.00","508562.00","531128.00","616193.00","7814823.00","2024","Residence Inn Westshore Tampa","2024-12-21 12:15:04"
"234","REVENUE","FOOD & BEVERAGE","FC_food_and_beverage_rinnwtp_5_12_revenue","2","2.2","IS.1","Revenue","IS.1.2","F&B Revenue",,,,,"FC_food_and_beverage_rinnwtp_5_12_revenue","868.00","840.00","1346.00","2017.00","1760.00","1486.00","95.00","123.00","203.00","249.00","1178.00","1798.00","11962.00","2024","Residence Inn Westshore Tampa","2024-12-21 12:15:04"
"235","REVENUE","OTHER OPERATED DEPARTMENTS","FC_other_operated_departments_rinnwtp_5_12_revenue","2","2.3","IS.1","Revenue","IS.1.3","Other Revenue",,,,,"FC_other_operated_departments_rinnwtp_5_12_revenue","11718.00","26215.00","34561.00","30086.00","29996.00","29395.00","22183.00","20606.00","18895.00","18847.00","19510.00","21635.00","283647.00","2024","Residence Inn Westshore Tampa","2024-12-21 12:15:04"
"236","DEPARTMENT EXPENSES","ROOMS","FC_rooms_rinnwtp_5_12_department_expenses","3","3.1","IS.2","Department Expenses","IS.2.1","Room Expense",,,,,"FC_rooms_rinnwtp_5_12_department_expenses","107126.00","115571.00","126197.00","125504.00","112870.00","108539.00","107056.00","99857.00","97191.00","95862.00","99594.00","106230.00","1301594.00","2024","Residence Inn Westshore Tampa","2024-12-21 12:15:04"
"237","DEPARTMENT EXPENSES","FOOD & BEVERAGE","FC_food_and_beverage_rinnwtp_5_12_department_expenses","3","3.2","IS.2","Department Expenses","IS.2.2","F&B Expense",,,,,"FC_food_and_beverage_rinnwtp_5_12_department_expenses","71.00","0.00","0.00","547.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","618.00","2024","Residence Inn Westshore Tampa","2024-12-21 12:15:04"
"238","DEPARTMENT EXPENSES","OTHER OPERATED DEPARTMENTS","FC_other_operated_departments_rinnwtp_5_12_department_expenses","3","3.3","IS.2","Department Expenses","IS.2.3","Other Expense",,,,,"FC_other_operated_departments_rinnwtp_5_12_department_expenses","3989.00","3109.00","5159.00","4886.00","3129.00","4104.00","3614.00","3357.00","3098.00","3095.00","3189.00","3505.00","44233.00","2024","Residence Inn Westshore Tampa","2024-12-21 12:15:04"
"239","UNDISTRIBUTED OPERATING EXPENSES","ADMINISTRATIVE & GENERAL","FC_administrative_and_general_rinnwtp_5_12_undistributed_operating_expenses","5","5.1","IS.2","Undistributed Expenses","IS.2.4","A&G Expense",,,,,"FC_administrative_and_general_rinnwtp_5_12_undistributed_operating_expenses","36772.00","35954.00","44398.00","44733.00","58652.00","35003.00","34029.00","32059.00","30555.00","31297.00","33084.00","34309.00","450845.00","2024","Residence Inn Westshore Tampa","2024-12-21 12:15:04"
"240","UNDISTRIBUTED OPERATING EXPENSES","INFORMATION & TELECOMMUNICATIONS","FC_information_and_telecommunications_rinnwtp_5_12_undistributed_operating_expenses","5","5.2","IS.2","Undistributed Expenses","IS.2.5","Information & Telecommunications",,,,,"FC_information_and_telecommunications_rinnwtp_5_12_undistributed_operating_expenses","5943.00","5915.00","5634.00","5650.00","7716.00","6100.00","4125.00","4125.00","4125.00","4125.00","4125.00","4125.00","61707.00","2024","Residence Inn Westshore Tampa","2024-12-21 12:15:04"
"241","UNDISTRIBUTED OPERATING EXPENSES","SALES & MARKETING","FC_sales_and_marketing_rinnwtp_5_12_undistributed_operating_expenses","5","5.3","IS.2","Undistributed Expenses","IS.2.6","Sales & Marketing",,,,,"FC_sales_and_marketing_rinnwtp_5_12_undistributed_operating_expenses","91424.00","102254.00","110415.00","99132.00","91910.00","86905.00","76152.00","71275.00","67468.00","71699.00","73623.00","83074.00","1025332.00","2024","Residence Inn Westshore Tampa","2024-12-21 12:15:04"
"242","UNDISTRIBUTED OPERATING EXPENSES","PROPERTY OPERATIONS & MAINTENANCE","FC_property_operations_and_maintenance_rinnwtp_5_12_undistributed_operating_expenses","5","5.4","IS.2","Undistributed Expenses","IS.2.7","Maintenance",,,,,"FC_property_operations_and_maintenance_rinnwtp_5_12_undistributed_operating_expenses","20950.00","18443.00","18330.00","18838.00","18014.00","19192.00","25547.00","24905.00","24979.00","24798.00","24971.00","25340.00","264306.00","2024","Residence Inn Westshore Tampa","2024-12-21 12:15:04"
"243","UNDISTRIBUTED OPERATING EXPENSES","UTILITIES","FC_utilities_rinnwtp_5_12_undistributed_operating_expenses","5","5.5","IS.2","Undistributed Expenses","IS.2.14","Utilities",,,,,"FC_utilities_rinnwtp_5_12_undistributed_operating_expenses","17385.00","15858.00","19380.00","20971.00","22251.00","17290.00","22693.00","21867.00","24068.00","18999.00","15487.00","18181.00","234431.00","2024","Residence Inn Westshore Tampa","2024-12-21 12:15:04"
"244","UNDISTRIBUTED OPERATING EXPENSES","GROSS OPERATING PROFIT","FC_gross_operating_profit_rinnwtp_5_12_undistributed_operating_expenses","6","6.1","IS.3","Gross Operating Profit","IS.3.1","GOP",,,,,"FC_gross_operating_profit_rinnwtp_5_12_undistributed_operating_expenses","410742.00","563204.00","670366.00","496667.00","418736.00","338501.00","328150.00","298540.00","262071.00","277785.00","297743.00","364863.00","4727366.00","2024","Residence Inn Westshore Tampa","2024-12-21 12:15:04"
"245","UNDISTRIBUTED OPERATING EXPENSES","MANAGEMENT FEES","FC_management_fees_rinnwtp_5_12_undistributed_operating_expenses","7","7.1","IS.2","Management Fees","IS.2.13","Management Fees",,,,,"FC_management_fees_rinnwtp_5_12_undistributed_operating_expenses","17360.00","21512.00","24997.00","20423.00","18332.00","15391.00","15034.00","13900.00","12839.00","13191.00","13795.00","55647.00","242422.00","2024","Residence Inn Westshore Tampa","2024-12-21 12:15:04"
"246","NON-OPERATING INCOME & EXPENSES","INCOME","FC_income_rinnwtp_5_12_non-operating_income_and_expenses","8","8.3","IS.2","Non-Operating Income & Expenses","IS.2.8","Other (Non-Operating I&E)",,,,,"FC_income_rinnwtp_5_12_non-operating_income_and_expenses","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2024","Residence Inn Westshore Tampa","2024-12-21 12:15:04"
"247","NON-OPERATING INCOME & EXPENSES","RENT & OTHER PROPERTY/EQUIPMENT","FC_rent_and_other_property_equipment_rinnwtp_5_12_non-operating_income_and_expenses","8","8.3","IS.2","Non-Operating Income & Expenses","IS.2.8","Other (Non-Operating I&E)",,,,,"FC_rent_and_other_property_equipment_rinnwtp_5_12_non-operating_income_and_expenses","0.00","0.00","0.00","0.00","0.00","3057.00","0.00","0.00","0.00","0.00","0.00","0.00","3057.00","2024","Residence Inn Westshore Tampa","2024-12-21 12:15:04"
"248","NON-OPERATING INCOME & EXPENSES","PROPERTY & OTHER TAXES","FC_property_and_other_taxes_rinnwtp_5_12_non-operating_income_and_expenses","8","8.1","IS.2","Non-Operating Income & Expenses","IS.2.8","Property & Other Taxes",,,,,"FC_property_and_other_taxes_rinnwtp_5_12_non-operating_income_and_expenses","43290.00","17498.00","34895.00","31894.00","31894.00","31894.00","31894.00","31895.00","31894.00","31894.00","31895.00","31895.00","382733.00","2024","Residence Inn Westshore Tampa","2024-12-21 12:15:04"
"249","NON-OPERATING INCOME & EXPENSES","INSURANCE","FC_insurance_rinnwtp_5_12_non-operating_income_and_expenses","8","8.2","IS.2","Non-Operating Income & Expenses","IS.2.8","Insurance",,,,,"FC_insurance_rinnwtp_5_12_non-operating_income_and_expenses","24158.00","23643.00","24159.00","17937.00","32657.00","22421.00","23881.00","23881.00","23881.00","23881.00","23881.00","23881.00","288260.00","2024","Residence Inn Westshore Tampa","2024-12-21 12:15:04"
"250","NON-OPERATING INCOME & EXPENSES","OTHER","FC_other_rinnwtp_5_12_non-operating_income_and_expenses","8","8.3","IS.2","Non-Operating Income & Expenses","IS.2.8","Other (Non-Operating I&E)",,,,,"FC_other_rinnwtp_5_12_non-operating_income_and_expenses","2990.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2990.00","2024","Residence Inn Westshore Tampa","2024-12-21 12:15:04"
"251","NON-OPERATING INCOME & EXPENSES","EBITDA","FC_ebitda_rinnwtp_5_12_non-operating_income_and_expenses","9","9","IS.3","EBITDA","IS.3.2","EBITDA",,,,,"FC_ebitda_rinnwtp_5_12_non-operating_income_and_expenses","322945.00","500550.00","586315.00","426412.00","335852.00","265737.00","257341.00","228864.00","193457.00","208818.00","228171.00","253439.00","3807903.00","2024","Residence Inn Westshore Tampa","2024-12-21 12:15:04"
"252","INTEREST, DEPRECIATION & AMORTIZATION","INTEREST","FC_interest_rinnwtp_5_12_interest,_depreciation_and_amortization","8","8.3","IS.2","Non-Operating Income & Expenses","IS.2.8","Other (Non-Operating I&E)",,,,,"FC_interest_rinnwtp_5_12_interest,_depreciation_and_amortization","0.00","269453.00","330692.00","231552.00","236270.00","250059.00","250000.00","250000.00","250000.00","250000.00","250000.00","250000.00","2818027.00","2024","Residence Inn Westshore Tampa","2024-12-21 12:15:04"
