"id","DC_BD_Assets_Type","DC_BD_Assets_Name","SQL_BD_Account_ID","SQL_Heading_Sequence","SQL_Sequence","SQL_Account_Name_Code","SQL_Account_Name","SQL_Account_Category_Order_Code","SQL_Account_Category_Order","SUB_Account_Category_Order_Code","SUB_Account_Category_Order","SQL_Account_Group_Name_Code","SQL_Account_Group_Name","Accountnumber_ID","January","February","March","April","May","June","July","August","September","October","November","December","Total","Por_Per_Rev","Account_Year","SQL_Property","updated_at"
"181","DEPARTMENTAL EXPENSES","Rooms","BD_rooms_mwdcd_4_3_departmental_expenses","3","3.1","IS.2","Department Expenses","IS.2.1","Room Expense","IS.2.1.13","Hourly Wages",,,"BD_rooms_mwdcd_4_3_departmental_expenses","154235.00","162884.00","205286.00","205210.00","204754.00","193633.00","185119.00","182602.00","195260.00","203304.00","181045.00","165495.00","2238826.00",,"2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"182","DEPARTMENTAL EXPENSES","Moxy F&B","BD_moxy_fb_mwdcd_4_3_departmental_expenses","3","3.2","IS.2","Department Expenses","IS.2.2","F&B Expense","IS.2.2.2","Food Cost",,,"BD_moxy_fb_mwdcd_4_3_departmental_expenses","38934.00","38576.00","45029.00","44957.00","46212.00","42877.00","43274.00","43892.00","43143.00","44791.00","41876.00","40101.00","513661.00",,"2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"183","DEPARTMENTAL EXPENSES","Atlas F&B F&B Cost","BD_atlas_fb_fb_cost_mwdcd_4_3_departmental_expenses","3","3.2","IS.2","Department Expenses","IS.2.2","F&B Expense","IS.2.2.2","Food Cost",,,"BD_atlas_fb_fb_cost_mwdcd_4_3_departmental_expenses","74418.02","98375.05","129338.47","136985.18","167847.87","145047.84","130153.56","116150.20","153008.55","100667.24","75888.03","95541.36","1423421.39",,"2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"184","DEPARTMENTAL EXPENSES","Atlas F&B Salary & Wages Cost","BD_atlas_fb_salary_and_wages_cost_mwdcd_4_3_departmental_expenses","3","3.2","IS.2","Department Expenses","IS.2.2","F&B Expense","IS.2.2.2","Food Cost",,,"BD_atlas_fb_salary_and_wages_cost_mwdcd_4_3_departmental_expenses","127844.17","119596.16","158672.53","157120.88","162358.24","157120.88","164358.24","164358.24","159120.88","129844.17","125720.16","129844.17","1755958.73",,"2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"185","DEPARTMENTAL EXPENSES","Atlas F&B Payroll & Benefits","BD_atlas_fb_payroll_and_benefits_mwdcd_4_3_departmental_expenses","3","3.2","IS.2","Department Expenses","IS.2.2","F&B Expense","IS.2.2.2","Food Cost",,,"BD_atlas_fb_payroll_and_benefits_mwdcd_4_3_departmental_expenses","15475.84","20378.48","26772.99","30909.49","38983.30","34022.29","30205.81","26797.64","34544.89","21817.42","16118.51","20082.23","316108.89",,"2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"186","DEPARTMENTAL EXPENSES","Atlas: Administrative & General","BD_atlas:_administrative_and_general_mwdcd_4_3_departmental_expenses","3","3.2","IS.2","Department Expenses","IS.2.2","F&B Expense","IS.2.2.2","Food Cost",,,"BD_atlas:_administrative_and_general_mwdcd_4_3_departmental_expenses","29225.21","32702.08","37236.96","43850.21","50537.19","46428.32","44551.66","41584.00","48329.91","33722.56","29680.98","32491.99","470341.08",,"2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"187","DEPARTMENTAL EXPENSES","Atlas: Marketing & Promotion","BD_atlas:_marketing_and_promotion_mwdcd_4_3_departmental_expenses","3","3.2","IS.2","Department Expenses","IS.2.2","F&B Expense","IS.2.2.2","Food Cost",,,"BD_atlas:_marketing_and_promotion_mwdcd_4_3_departmental_expenses","5368.75","6119.15","8347.91","8955.37","10053.85","9378.88","8859.63","7895.94","9449.99","5968.36","5192.99","5732.28","91323.10",,"2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"188","DEPARTMENTAL EXPENSES","Atlas: Repairs and Maintenance","BD_atlas:_repairs_and_maintenance_mwdcd_4_3_departmental_expenses","3","3.2","IS.2","Department Expenses","IS.2.2","F&B Expense","IS.2.2.2","Food Cost",,,"BD_atlas:_repairs_and_maintenance_mwdcd_4_3_departmental_expenses","3605.77","4748.05","6237.92","7201.70","9082.84","7926.96","7037.75","6243.67","8048.73","5083.31","3755.50","4679.02","73651.22",,"2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"189","DEPARTMENTAL EXPENSES","Atlas: Utilities","BD_atlas:_utilities_mwdcd_4_3_departmental_expenses","3","3.2","IS.2","Department Expenses","IS.2.2","F&B Expense","IS.2.2.2","Food Cost",,,"BD_atlas:_utilities_mwdcd_4_3_departmental_expenses","6650.00","6650.00","6650.00","6650.00","6650.00","6650.00","6650.00","6650.00","6650.00","6650.00","6650.00","6650.00","79800.00",,"2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"190","DEPARTMENTAL EXPENSES","Atlas: Direct Operating Expenses","BD_atlas:_direct_operating_expenses_mwdcd_4_3_departmental_expenses","3","3.2","IS.2","Department Expenses","IS.2.2","F&B Expense","IS.2.2.2","Food Cost",,,"BD_atlas:_direct_operating_expenses_mwdcd_4_3_departmental_expenses","13328.48","17047.14","21897.40","23983.61","29833.00","26238.80","23473.80","21004.62","26617.42","18138.59","13815.94","16822.44","252201.25",,"2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"191","DEPARTMENTAL EXPENSES","Atlas: Music & Entertainment","BD_atlas:_music_and_entertainment_mwdcd_4_3_departmental_expenses","3","3.2","IS.2","Department Expenses","IS.2.2","F&B Expense","IS.2.2.2","Food Cost",,,"BD_atlas:_music_and_entertainment_mwdcd_4_3_departmental_expenses","3400.00","3400.00","3400.00","7800.00","7800.00","7800.00","7800.00","7800.00","7800.00","7800.00","7800.00","3200.00","75800.00",,"2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"192","DEPARTMENTAL EXPENSES","Atlas: Occupany Costs","BD_atlas:_occupany_costs_mwdcd_4_3_departmental_expenses","3","3.2","IS.2","Department Expenses","IS.2.2","F&B Expense","IS.2.2.2","Food Cost",,,"BD_atlas:_occupany_costs_mwdcd_4_3_departmental_expenses","26319.46","34657.28","45532.29","52567.16","66298.13","57861.03","51370.42","45574.22","58749.82","37104.46","27412.43","34153.45","537600.15",,"2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"193","DEPARTMENTAL EXPENSES","Other Operated Departments","BD_other_operated_departments_mwdcd_4_3_departmental_expenses","3","3.3","IS.2","Department Expenses","IS.2.3","Other Expense","IS.2.3.1","Other Expense",,,"BD_other_operated_departments_mwdcd_4_3_departmental_expenses","5059.00","5267.00","6367.00","6467.00","6361.00","6172.00","6199.00","6140.00","6170.00","6305.00","5831.00","5424.00","71762.00",,"2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"194","DEPARTMENTAL EXPENSES","Net House Laundry Expenses","BD_net_house_laundry_expenses_mwdcd_4_3_departmental_expenses","3","3.4","IS.2","Department Expenses","IS.2.3","Miscellaneous Expense","IS.2.3.1","Miscellaneous",,,"BD_net_house_laundry_expenses_mwdcd_4_3_departmental_expenses","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",,"2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"195","DEPARTMENTAL EXPENSES","Net Payroll Taxes & Employee Benefits","BD_net_payroll_taxes_and_employee_benefits_mwdcd_4_3_departmental_expenses","3","3.4","IS.2","Department Expenses","IS.2.3","Miscellaneous Expense","IS.2.3.1","Miscellaneous",,,"BD_net_payroll_taxes_and_employee_benefits_mwdcd_4_3_departmental_expenses","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",,"2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"196","UNDISTRIBUTED OPERATING EXPENSES","Moxy: Administrative & General","BD_moxy:_administrative_and_general_mwdcd_4_3_undistributed_operating_expenses","5","5.1","IS.2","Undistributed Expenses","IS.2.4","A&G Expense","IS.2.4.1","Administrative & General",,,"BD_moxy:_administrative_and_general_mwdcd_4_3_undistributed_operating_expenses","84625.00","88294.00","116943.00","112171.00","111815.00","103117.00","96578.00","93012.00","106899.00","111226.00","97377.00","89420.00","1211476.00",,"2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"197","UNDISTRIBUTED OPERATING EXPENSES","Moxy: Information & Telecommunications Sys.","BD_moxy:_information_and_telecommunications_sys._mwdcd_4_3_undistributed_operating_expenses","5","5.2","IS.2","Undistributed Expenses","IS.2.5","Information & Telecommunications","IS.2.5.8","TOTAL I&TS CONT.",,,"BD_moxy:_information_and_telecommunications_sys._mwdcd_4_3_undistributed_operating_expenses","10879.00","13461.00","10462.00","10413.00","10401.00","10537.00","10527.00","10527.00","10527.00","10527.00","10527.00","10527.00","129314.00",,"2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"198","UNDISTRIBUTED OPERATING EXPENSES","Moxy: Sales & Marketing","BD_moxy:_sales_and_marketing_mwdcd_4_3_undistributed_operating_expenses","5","5.3","IS.2","Undistributed Expenses","IS.2.6","Sales & Marketing","IS.2.6.1","Sales & Marketing",,,"BD_moxy:_sales_and_marketing_mwdcd_4_3_undistributed_operating_expenses","124332.00","140922.00","199542.00","213053.00","201250.00","185074.00","157963.00","145583.00","191782.00","205496.00","160723.00","132238.00","2057958.00",,"2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"199","UNDISTRIBUTED OPERATING EXPENSES","Moxy: Property Operations & Maintenance","BD_moxy:_property_operations_and_maintenance_mwdcd_4_3_undistributed_operating_expenses","5","5.4","IS.2","Undistributed Expenses","IS.2.7","Maintenance","IS.2.7.5","Hourly Wages",,,"BD_moxy:_property_operations_and_maintenance_mwdcd_4_3_undistributed_operating_expenses","46526.00","43080.00","45059.00","51445.00","45733.00","45395.00","47672.00","45382.00","44367.00","47117.00","43508.00","44142.00","549425.00",,"2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"200","UNDISTRIBUTED OPERATING EXPENSES","Moxy: Energy Costs","BD_moxy:_energy_costs_mwdcd_4_3_undistributed_operating_expenses","5","5.5","IS.2","Undistributed Expenses","IS.2.14","Utilities","IS.2.14.1","Utilities",,,"BD_moxy:_energy_costs_mwdcd_4_3_undistributed_operating_expenses","26009.00","27074.00","32720.00","33231.00","32689.00","31716.00","31858.00","31556.00","31710.00","32400.00","29968.00","27881.00","368813.00",,"2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"201","UNDISTRIBUTED OPERATING EXPENSES","Gross Operating Profit (GOP)","BD_gross_operating_profit_gop_mwdcd_4_3_undistributed_operating_expenses","6","6.1","IS.3","Gross Operating Profit","IS.3.1","GOP","IS.3.1.1","Gross Operating Profit",,,"BD_gross_operating_profit_gop_mwdcd_4_3_undistributed_operating_expenses","196537.48","455206.36","949849.42","1084208.02","1089833.84","838126.53","530968.36","428276.23","957899.21","970094.90","580820.54","322179.13","8404001.03",,"2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"202","UNDISTRIBUTED OPERATING EXPENSES","Moxy: Management Fees","BD_moxy:_management_fees_mwdcd_4_3_undistributed_operating_expenses","7","7.1","IS.2","Management Fees","IS.2.13","Management Fees","IS.2.13.1","Management Fees",,,"BD_moxy:_management_fees_mwdcd_4_3_undistributed_operating_expenses","21869.00","29134.00","47986.00","51328.00","49021.00","41272.00","32118.00","29259.00","45377.00","48810.00","35688.00","25352.00","457214.00",,"2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"203","UNDISTRIBUTED OPERATING EXPENSES","Atlas: Management Fees","BD_atlas:_management_fees_mwdcd_4_3_undistributed_operating_expenses","7","7.1","IS.2","Management Fees","IS.2.13","Management Fees","IS.2.13.1","Management Fees",,,"BD_atlas:_management_fees_mwdcd_4_3_undistributed_operating_expenses","13159.73","17328.64","22766.14","26283.58","33149.06","28930.52","25685.21","22787.11","29374.91","18552.23","13706.22","17076.72","268800.07",,"2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"204","Non-Operating Income & Expenses","Moxy: Rent","BD_moxy:_rent_mwdcd_4_3_non-operating_income_and_expenses","8","8.3","IS.2","Non-Operating Income & Expenses","IS.2.8","Other (Non-Operating I&E)","IS.2.8.2","Rent",,,"BD_moxy:_rent_mwdcd_4_3_non-operating_income_and_expenses","488.00","488.00","488.00","488.00","488.00","488.00","488.00","488.00","488.00","488.00","488.00","488.00","5856.00",,"2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"205","Non-Operating Income & Expenses","Moxy: Property & Other taxes","BD_moxy:_property_and_other_taxes_mwdcd_4_3_non-operating_income_and_expenses","8","8.1","IS.2","Non-Operating Income & Expenses","IS.2.8","Property & Other Taxes","IS.2.8.11","Property & Other Taxes",,,"BD_moxy:_property_and_other_taxes_mwdcd_4_3_non-operating_income_and_expenses","62277.00","62277.00","62277.00","62277.00","62277.00","76277.00","62076.00","62076.00","62076.00","64825.00","64825.00","64825.00","768363.00",,"2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"206","Non-Operating Income & Expenses","Moxy: Insurance","BD_moxy:_insurance_mwdcd_4_3_non-operating_income_and_expenses","8","8.2","IS.2","Non-Operating Income & Expenses","IS.2.8","Insurance","IS.2.8.13","Insurance General",,,"BD_moxy:_insurance_mwdcd_4_3_non-operating_income_and_expenses","17153.00","17153.00","17153.00","17153.00","17153.00","17153.00","17153.00","17153.00","17153.00","18128.00","18128.00","18128.00","208760.00",,"2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"207","Non-Operating Income & Expenses","Moxy: Other","BD_moxy:_other_mwdcd_4_3_non-operating_income_and_expenses","8","8.3","IS.2","Non-Operating Income & Expenses","IS.2.8","Other (Non-Operating I&E)","IS.2.8.1-","Other",,,"BD_moxy:_other_mwdcd_4_3_non-operating_income_and_expenses","350.00","350.00","350.00","778.00","350.00","3874.00","350.00","350.00","350.00","350.00","350.00","350.00","8152.00",,"2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"208","Non-Operating Income & Expenses","Atlas: Occupancy Costs","BD_atlas:_occupancy_costs_mwdcd_4_3_non-operating_income_and_expenses","8","8.3","IS.2","Non-Operating Income & Expenses","IS.2.8","Other (Non-Operating I&E)","IS.2.8.1-","Other",,,"BD_atlas:_occupancy_costs_mwdcd_4_3_non-operating_income_and_expenses","-26319.46","-34657.28","-45532.29","-52567.16","-66298.13","-57861.03","-51370.42","-45574.22","-58749.82","-37104.46","-27412.43","-34153.45","-537600.15",,"2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"209","Non-Operating Income & Expenses","Moxy: Capital Replacement Reserve","BD_moxy:_capital_replacement_reserve_mwdcd_4_3_non-operating_income_and_expenses","10","10","IS.2","Replacement Reserve","IS.2.12","Replacement Reserve","IS.2.12.1","Replacement Reserve",,,"BD_moxy:_capital_replacement_reserve_mwdcd_4_3_non-operating_income_and_expenses","29183.00","38875.00","64001.00","68460.00","65420.00","55060.00","42837.00","39011.00","60503.00","65080.00","47583.00","33803.00","609818.00",,"2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"210","Non-Operating Income & Expenses","Atlas: FF&E Reserve","BD_atlas:_ffe_reserve_mwdcd_4_3_non-operating_income_and_expenses","10","10","IS.2","Replacement Reserve","IS.2.12","Replacement Reserve","IS.2.12.1","Replacement Reserve",,,"BD_atlas:_ffe_reserve_mwdcd_4_3_non-operating_income_and_expenses","10527.77","13862.91","18212.92","21026.87","26519.25","23144.42","20548.17","18229.67","23499.94","14841.80","10964.96","13661.36","215040.03",,"2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"211","Non-Operating Income & Expenses","EBITDA Less Replacement Reserve","BD_ebitda_less_replacement_reserve_mwdcd_4_3_non-operating_income_and_expenses","9","9","IS.3","EBITDA","IS.3.2","EBITDA","IS.3.2.1","EBITDA",,,"BD_ebitda_less_replacement_reserve_mwdcd_4_3_non-operating_income_and_expenses","67849.44","310395.09","762147.65","888980.74","901754.65","649788.63","381083.41","284496.67","777827.18","776124.33","416499.79","182648.49","6399598.07",,"2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"212",,"Total Operating Income","calc_BD_total_operating_income_mwdcd_4_3","2","2.5","IS.2","Revenue","IS.2.5","Total Operating Income",,,,,"calc_BD_total_operating_income_mwdcd_4_3","992772.19","1318437.75","2055343.89","2237178.64","2298493.26","1955122.54","1584619.24","1431028.76","2100077.40","1998057.02","1463710.10","1186604.06",,,"2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"213",,"Total Department Expense","calc_BD_total_department_expense_mwdcd_4_3","3","3.5","IS.2","Department Expenses","IS.2.5","Total Department Expense",,,,,"calc_BD_total_department_expense_mwdcd_4_3","503863.70","550400.39","700768.47","732657.60","806771.42","741157.00","709052.87","676692.53","756893.19","621196.11","540786.54","560216.94",,,"2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"214",,"Department Profit (Loss)","calc_BD_department_profit_loss_mwdcd_4_3","4","4.1","IS.4","Department Profit (Loss)","IS.4.1","Department Profit (Loss)",,,,,"calc_BD_department_profit_loss_mwdcd_4_3","488908.49","768037.36","1354575.42","1504521.04","1491721.84","1213965.54","875566.37","754336.23","1343184.21","1376860.91","922923.56","626387.12",,,"2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"215",,"Total Undistributed Expenses","calc_BD_total_undistributed_expenses_mwdcd_4_3","5","5.6","IS.5","Undistributed Expenses","IS.5.6","Total Undistributed Expenses",,,,,"calc_BD_total_undistributed_expenses_mwdcd_4_3","292371.00","312831.00","404726.00","420313.00","401888.00","375839.00","344598.00","326060.00","385285.00","406766.00","342103.00","304208.00",,,"2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"216",,"GOP Margin","calc_BD_gop_margin_mwdcd_4_3","6","6.2","IS.6","Gross Operating Profit","IS.6.1","GOP Margin",,,,,"calc_BD_gop_margin_mwdcd_4_3","19.80","34.53","46.21","48.46","47.42","42.87","33.51","29.93","45.61","48.55","39.68","27.15",,,"2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"217",,"Income before Non-Operating Inc&Exp","calc_BD_income_before_non-operating_incexp_mwdcd_4_3","7","7.2","IS.7","Income Before Non-Operating Inc & Exp","IS.7.1","Income before Non-Operating Inc&Exp",,,,,"calc_BD_income_before_non-operating_incexp_mwdcd_4_3","161508.75","408743.72","879097.28","1006596.44","1007663.78","767924.01","473165.15","376230.12","883147.30","902732.67","531426.32","279750.41",,,"2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"218",,"Total Non-Operating Income & Expenses","calc_BD_total_non-operating_income_and_expenses_mwdcd_4_3","8","8.4","IS.8","Total Non-Operating Income & Expenses","IS.8.4","Total Non-Operating Income & Expenses",,,,,"calc_BD_total_non-operating_income_and_expenses_mwdcd_4_3","53948.54","45610.72","34735.71","28128.84","13969.87","39930.97","28696.58","34492.78","21317.18","46686.54","56378.57","49637.55",,,"2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"219",,"NOI Margin","calc_BD_noi_margin_mwdcd_4_3","11","11.2","IS.11","NOI Margin","IS.11.1","NOI Margin",,,,,"calc_BD_noi_margin_mwdcd_4_3","6.83","23.54","37.08","39.74","39.23","33.24","24.05","19.88","37.04","38.84","28.46","15.39",,,"2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"220",,"OCCUPANCY","BD_occupancy_rdipd_1_8","1","1.3","OD.1","Operational Data","OD.1.3","Occupancy %","-","-",,,"BD_occupancy_rdipd_1_8","69.00","80.00","95.00","93.00","76.00","85.00","87.00","92.00","84.00","77.00","73.00","75.00","82.00",,"2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"221",,"AVERAGE RATE","BD_average_rate_rdipd_1_8","1","1.4","OD.1","Operational Data","OD.1.4","Average Rate","-","-",,,"BD_average_rate_rdipd_1_8","224.08","204.21","217.30","217.45","233.07","218.44","231.81","236.40","231.36","234.29","230.92","204.53","223.77",,"2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"222",,"TOTAL REV PAR","BD_total_rev_par_rdipd_1_8","1","1.5","OD.1","Operational Data","OD.1.5","RevPar","-","-",,,"BD_total_rev_par_rdipd_1_8","176.00","189.75","237.35","232.95","202.81","214.15","229.96","248.40","221.58","204.90","192.73","177.24","210.72",,"2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"223","FLOW THRU CALCULATION","SOLD ROOMS","BD_sold_rooms_rdipd_1_8_flow_thru_calculation","1","1.2","OD.1","Operational Data","OD.1.2","Rooms Sold","-","-",,,"BD_sold_rooms_rdipd_1_8_flow_thru_calculation","3061.00","3347.00","4244.38","4028.09","3405.39","3686.06","3886.25","4123.66","3625.70","3420.25","3154.11","3330.29","43312.18",,"2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"224","FLOW THRU CALCULATION","TOTAL ROOMS","BD_total_rooms_rdipd_1_8_flow_thru_calculation","1","1.1","OD.1","Operational Data","OD.1.1","Available Rooms","-","-",,,"BD_total_rooms_rdipd_1_8_flow_thru_calculation","4464.00","4176.00","4464.00","4320.00","4464.00","4320.00","4464.00","4464.00","4320.00","4464.00","4320.00","4464.00","52704.00",,"2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"225","SALES","Rooms","BD_rooms_rdipd_1_8_sales","2","2.1","IS.1","Revenue","IS.1.1","Room Revenue","IS.1.1.1","Rooms",,,"BD_rooms_rdipd_1_8_sales","685902.99","683495.85","922311.57","875924.40","793705.27","805186.78","900869.41","974835.78","838830.74","801327.18","728350.52","681138.38","9691878.87","222.36","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"226","SALES","Food & Beverage","BD_food_and_beverage_rdipd_1_8_sales","2","2.2","IS.1","Revenue","IS.1.2","F&B Revenue","IS.1.2.1","Food & Beverage",,,"BD_food_and_beverage_rdipd_1_8_sales","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"227","SALES","Market","BD_market_rdipd_1_8_sales","2","2.4","IS.1","Revenue","IS.1.4","Miscellaneous Revenue","IS.1.4.1","Miscellaneous",,,"BD_market_rdipd_1_8_sales","5860.17","6515.28","8189.67","7916.17","7791.83","7519.65","7276.76","8418.60","6874.43","7476.13","6501.94","6703.16","87043.79","2.00","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"228","SALES","Other","BD_other_rdipd_1_8_sales","2","2.3","IS.1","Revenue","IS.1.3","Other Revenue","IS.1.3.1","Total Other Operated Departments",,,"BD_other_rdipd_1_8_sales","91285.56","99709.11","126241.51","119889.26","101272.71","109850.14","115685.56","122699.90","107948.47","103421.50","95420.69","101001.32","1294425.73","29.70","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"229","ROOMS CONTROLLABLES","TOTAL ROOMS CONT.","BD_total_rooms_cont._rdipd_1_8_rooms_controllables","3","3.1","IS.2","Department Expenses","IS.2.1","Room Expense","IS.2.1.3","Cleaning Supplies",,,"BD_total_rooms_cont._rdipd_1_8_rooms_controllables","166964.86","163832.57","199471.51","188726.13","161713.30","181120.51","197574.27","184450.11","178854.91","169108.88","171517.57","160613.44","2123948.06","48.73","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"230","F&B CONTROLLABLES","TOTAL F&B CONT.","BD_total_fb_cont._rdipd_1_8_fb_controllables","3","3.2","IS.2","Department Expenses","IS.2.2","F&B Expense","IS.2.2.2","Food Cost",,,"BD_total_fb_cont._rdipd_1_8_fb_controllables","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-85.47","0.00","0.00","0.00","0.00","-85.47","0.00","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"231","BANQUET CONTROLLABLES","Total Other Expense","BD_total_other_expense_rdipd_1_8_banquet_controllables","3","3.3","IS.2","Department Expenses","IS.2.3","Other Expense","IS.2.3.1","Total Other Operated Departments Expense",,,"BD_total_other_expense_rdipd_1_8_banquet_controllables","0.00","0.00","0.00","0.00","0.00","0.00","149.75","0.00","0.00","0.00","0.00","105.39","255.14","0.00","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"232","INFORMATION & TELECOM SYSTEMS","TOTAL I&TS CONT.","BD_total_its_cont._rdipd_1_8_information_and_telecom_systems","5","5.2","IS.2","Undistributed Expenses","IS.2.5","Information & Telecommunications","IS.2.5.1","Information & Telecommunications Sys.",,,"BD_total_its_cont._rdipd_1_8_information_and_telecom_systems","10712.52","7737.05","7726.65","7398.70","5107.62","7185.43","8964.23","4718.26","12936.92","5517.61","5337.01","6962.41","90304.40","1.71","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"233","ADMIN & GEN CONTROLLABLES","TOTAL A&G CONT.","BD_total_ag_cont._rdipd_1_8_admin_and_gen_controllables","5","5.1","IS.2","Undistributed Expenses","IS.2.4","A&G Expense","IS.2.4.1","Administrative & General",,,"BD_total_ag_cont._rdipd_1_8_admin_and_gen_controllables","75295.94","68868.06","81483.98","76177.93","79176.56","73474.81","81826.52","80124.55","74352.41","87222.00","71306.45","70620.80","919930.00","0.08","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"234","UTILITIES","TOTAL UTILITIES","BD_total_utilities_rdipd_1_8_utilities","5","5.5","IS.2","Undistributed Expenses","IS.2.14","Utilities","IS.2.14.1","Utilities",,,"BD_total_utilities_rdipd_1_8_utilities","33743.01","23064.48","26202.20","29701.67","26477.52","24822.21","34744.99","34104.26","23943.26","37344.24","27852.09","27271.86","349271.80","6.63","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"235","PROP OPERATIONS & MAINT","TOTAL PO&M","BD_total_pom_rdipd_1_8_prop_operations_and_maint","5","5.4","IS.2","Undistributed Expenses","IS.2.7","Maintenance","IS.2.7.1","Property Operations & Maintenance",,,"BD_total_pom_rdipd_1_8_prop_operations_and_maint","43732.09","32134.92","36848.96","32779.26","34147.44","34070.72","40198.05","34340.76","33141.35","33417.09","32410.79","33544.13","420765.56","7.98","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"236","SALES & MKT","TOTAL SALES & MKT.","BD_total_sales_and_mkt._rdipd_1_8_sales_and_mkt","5","5.3","IS.2","Undistributed Expenses","IS.2.6","Sales & Marketing","IS.2.6.1","Sales & Marketing",,,"BD_total_sales_and_mkt._rdipd_1_8_sales_and_mkt","54957.20","39371.85","59897.94","46739.03","46486.09","58621.65","45875.79","49397.88","58930.27","46041.14","42172.01","39433.93","587924.77","0.05","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"237","OPERATING RESULTS","TOTAL MANAGEMENT FEES","BD_total_management_fees_rdipd_1_8_operating_results","7","7.1","IS.2","Management Fees","IS.2.13","Management Fees","IS.2.13","Management Fees",,,"BD_total_management_fees_rdipd_1_8_operating_results","54996.14","55468.41","74165.57","70444.82","63373.19","64760.07","71859.14","77619.35","67007.18","64026.37","58281.97","55385.22","777387.42","0.07","2024","Residence Inn Pasadena","2024-12-21 12:15:04"
"238","NON-OP INC & EXP DETAIL","Real Estate Tax","BD_real_estate_tax_rdipd_1_8_non-op_inc_and_exp_detail","8","8.1","IS.2","Non-Operating Income & Expenses","IS.2.8","Property & Other Taxes","IS.2.8.11","Property & Other Taxes",,,"BD_real_estate_tax_rdipd_1_8_non-op_inc_and_exp_detail","52091.51","52091.51","52091.51","52091.51","52091.51","52091.51","52091.51","52091.51","52091.51","52091.51","52091.51","52091.51","625098.10",,"2024","Residence Inn Pasadena","2024-12-21 12:15:04"
